
[2021-02-23 09:29:46.925] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:46.956] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:47.018] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:47.237] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:47.425] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:47.628] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:47.831] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:48.034] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:48.222] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:48.425] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:48.628] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:48.831] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-23 09:29:49.018] $GPGGA,,,,,,,,,,M,,M,,*56
