Time,GPS time, GPS status, Latitude, Lontitude, Altitude, Easting, Northing, Velocity, Heading, Roll,Pitch,Yaw,Accel_Roll,Accel_Pitch,Accel_Yaw,Rate_Roll,Rate_Pitch,Rate_Yaw
181.0,31806.2, 4, 43.0741713200, 141.3361029027,14.058000, 527362.2293,4769106.2587,0.00,63.030, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
181.5,31806.7, 4, 43.0741713222, 141.3361029048,14.057000, 527362.2295,4769106.2589,0.00,41.880, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
182.0,31807.2, 4, 43.0741713425, 141.3361029073,14.067000, 527362.2297,4769106.2612,0.00,49.690, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
182.5,31807.7, 4, 43.0741713500, 141.3361029033,14.069000, 527362.2294,4769106.2620,0.00,27.900, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
183.0,31808.2, 4, 43.0741713212, 141.3361029062,14.060000, 527362.2296,4769106.2588,0.00,49.660, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
183.5,31808.7, 4, 43.0741713285, 141.3361029010,14.060000, 527362.2292,4769106.2596,0.00,305.660, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
184.0,31809.2, 4, 43.0741713367, 141.3361028795,14.058000, 527362.2274,4769106.2605,0.00,334.900, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
184.5,31809.7, 4, 43.0741713323, 141.3361028608,14.059000, 527362.2259,4769106.2600,0.00,13.660, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
185.0,31810.2, 4, 43.0741713163, 141.3361029165,14.067000, 527362.2304,4769106.2583,0.00,28.030, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
185.5,31810.7, 4, 43.0741713190, 141.3361028993,14.070000, 527362.2290,4769106.2586,0.00,231.170, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
186.0,31811.2, 4, 43.0741713260, 141.3361029000,14.072000, 527362.2291,4769106.2593,0.00,139.060, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
186.5,31811.7, 4, 43.0741713372, 141.3361028932,14.071000, 527362.2285,4769106.2606,0.00,290.810, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
187.0,31812.2, 4, 43.0741713680, 141.3361029133,14.067000, 527362.2302,4769106.2640,0.00,47.220, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
187.5,31812.7, 4, 43.0741713618, 141.3361029097,14.067000, 527362.2299,4769106.2633,0.00,76.240, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
188.0,31813.2, 4, 43.0741713572, 141.3361029315,14.065000, 527362.2317,4769106.2628,0.00,96.980, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
188.5,31813.7, 4, 43.0741713543, 141.3361029193,14.067000, 527362.2307,4769106.2625,0.00,100.930, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
189.0,31814.2, 4, 43.0741713148, 141.3361028953,14.068000, 527362.2287,4769106.2581,0.00,127.110, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
189.5,31814.7, 4, 43.0741713252, 141.3361028840,14.069000, 527362.2278,4769106.2592,0.00,41.020, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
190.0,31815.2, 4, 43.0741713325, 141.3361028932,14.066000, 527362.2285,4769106.2601,0.00,271.270, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
190.5,31815.7, 4, 43.0741713418, 141.3361028870,14.067000, 527362.2280,4769106.2611,0.00,222.660, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
191.0,31816.2, 4, 43.0741713552, 141.3361029002,14.065000, 527362.2291,4769106.2626,0.00,353.570, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
191.5,31816.7, 4, 43.0741713533, 141.3361028647,14.062000, 527362.2262,4769106.2624,0.00,309.210, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
192.0,31817.2, 4, 43.0741713620, 141.3361028772,14.060000, 527362.2272,4769106.2633,0.00,41.300, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
192.5,31817.7, 4, 43.0741713433, 141.3361028957,14.061000, 527362.2287,4769106.2613,0.00,311.810, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
193.0,31818.2, 4, 43.0741713357, 141.3361029153,14.059000, 527362.2303,4769106.2604,0.00,74.130, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
193.5,31818.7, 4, 43.0741713303, 141.3361029055,14.061000, 527362.2295,4769106.2598,0.00,352.340, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
194.0,31819.2, 4, 43.0741713078, 141.3361029008,14.065000, 527362.2292,4769106.2573,0.00,345.910, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
194.5,31819.7, 4, 43.0741713455, 141.3361028782,14.060000, 527362.2273,4769106.2615,0.00,1.100, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
