Time,GPS time, GPS status, Latitude, Lontitude, Altitude, Easting, Northing, Velocity, Heading, Roll,Pitch,Yaw,Accel_Roll,Accel_Pitch,Accel_Yaw,Rate_Roll,Rate_Pitch,Rate_Yaw
14.5,31329.2, 4, 43.0733626787, 141.3380032703,15.024000, 527517.3007,4769017.0807,0.01,334.100, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.0,31329.7, 4, 43.0733655008, 141.3380009228,15.036000, 527517.1083,4769017.3934,0.01,336.730, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.5,31330.2, 4, 43.0733685350, 141.3379984937,15.001000, 527516.9092,4769017.7295,0.01,335.570, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16.0,31330.7, 4, 43.0733709838, 141.3379963095,14.988000, 527516.7303,4769018.0007,0.00,333.820, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16.5,31331.2, 4, 43.0733734688, 141.3379939963,15.038000, 527516.5409,4769018.2759,0.00,335.270, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17.0,31331.7, 4, 43.0733779377, 141.3379904883,15.042000, 527516.2533,4769018.7710,0.01,340.020, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17.5,31332.2, 4, 43.0733833975, 141.3379866153,15.049000, 527515.9355,4769019.3761,0.01,337.570, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18.0,31332.7, 4, 43.0733889213, 141.3379825650,15.035000, 527515.6033,4769019.9882,0.01,337.950, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18.5,31333.2, 4, 43.0733941698, 141.3379783898,15.019000, 527515.2610,4769020.5697,0.01,336.440, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19.0,31333.7, 4, 43.0733990985, 141.3379740598,15.030000, 527514.9063,4769021.1156,0.01,337.000, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19.5,31334.2, 4, 43.0734044360, 141.3379702827,15.016000, 527514.5964,4769021.7071,0.01,339.610, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20.0,31334.7, 4, 43.0734113013, 141.3379649645,15.014000, 527514.1604,4769022.4677,0.01,337.000, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20.5,31335.2, 4, 43.0734179837, 141.3379601680,15.006000, 527513.7669,4769023.2082,0.01,334.870, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.0,31335.7, 4, 43.0734249180, 141.3379551015,15.002000, 527513.3514,4769023.9766,0.01,334.100, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21.5,31336.2, 4, 43.0734313958, 141.3379496288,14.994000, 527512.9029,4769024.6942,0.01,330.050, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22.0,31336.7, 4, 43.0734397227, 141.3379433738,14.972000, 527512.3900,4769025.6168,0.02,331.260, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22.5,31337.2, 4, 43.0734477642, 141.3379379487,14.980000, 527511.9447,4769026.5080,0.02,330.520, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.0,31337.7, 4, 43.0734564120, 141.3379321862,14.965000, 527511.4717,4769027.4665,0.02,332.450, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23.5,31338.2, 4, 43.0734651698, 141.3379256983,14.960000, 527510.9396,4769028.4369,0.02,333.970, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24.0,31338.7, 4, 43.0734746317, 141.3379188040,14.945000, 527510.3741,4769029.4854,0.02,333.380, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24.5,31339.2, 4, 43.0734857508, 141.3379112143,14.940000, 527509.7512,4769030.7177,0.02,332.580, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25.0,31339.7, 4, 43.0734965900, 141.3379023918,14.934000, 527509.0281,4769031.9185,0.02,332.210, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25.5,31340.2, 4, 43.0735073593, 141.3378937682,14.925000, 527508.3213,4769033.1116,0.02,330.220, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26.0,31340.7, 4, 43.0735180862, 141.3378857028,14.920000, 527507.6598,4769034.3002,0.02,333.930, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26.5,31341.2, 4, 43.0735302083, 141.3378759338,14.910000, 527506.8591,4769035.6431,0.02,334.540, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27.0,31341.7, 4, 43.0735432065, 141.3378647838,14.894000, 527505.9456,4769037.0829,0.03,327.860, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27.5,31342.2, 4, 43.0735566062, 141.3378537397,14.890000, 527505.0405,4769038.5673,0.03,331.450, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28.0,31342.7, 4, 43.0735704610, 141.3378416960,14.879000, 527504.0538,4769040.1019,0.03,333.090, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28.5,31343.2, 4, 43.0735837767, 141.3378305125,14.875000, 527503.1374,4769041.5770,0.03,335.070, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29.0,31343.7, 4, 43.0735971820, 141.3378191658,14.893000, 527502.2076,4769043.0619,0.03,332.100, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29.5,31344.2, 4, 43.0736106027, 141.3378076315,14.864000, 527501.2626,4769044.5485,0.03,334.770, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30.0,31344.7, 4, 43.0736239650, 141.3377965883,14.880000, 527500.3576,4769046.0288,0.03,333.120, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30.5,31345.2, 4, 43.0736373522, 141.3377848913,14.889000, 527499.3993,4769047.5116,0.03,330.600, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31.0,31345.7, 4, 43.0736502982, 141.3377734475,14.875000, 527498.4619,4769048.9455,0.03,332.840, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31.5,31346.2, 4, 43.0736634030, 141.3377623083,14.869000, 527497.5492,4769050.3971,0.02,335.700, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32.0,31346.7, 4, 43.0736761812, 141.3377509937,14.880000, 527496.6223,4769051.8124,0.02,332.170, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32.5,31347.2, 4, 43.0736894695, 141.3377396885,14.861000, 527495.6960,4769053.2844,0.03,334.430, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33.0,31347.7, 4, 43.0737026195, 141.3377284445,14.849000, 527494.7748,4769054.7410,0.02,335.030, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33.5,31348.2, 4, 43.0737156762, 141.3377168532,14.846000, 527493.8253,4769056.1871,0.03,331.570, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34.0,31348.7, 4, 43.0737286868, 141.3377054538,14.836000, 527492.8914,4769057.6282,0.03,333.800, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34.5,31349.2, 4, 43.0737418042, 141.3376940018,14.814000, 527491.9532,4769059.0812,0.03,335.030, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35.0,31349.7, 4, 43.0737549690, 141.3376823320,14.802000, 527490.9973,4769060.5393,0.03,333.930, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35.5,31350.2, 4, 43.0737679322, 141.3376710242,14.804000, 527490.0709,4769061.9751,0.02,331.970, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.0,31350.7, 4, 43.0737809297, 141.3376595805,14.806000, 527489.1335,4769063.4148,0.03,329.880, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.5,31351.2, 4, 43.0737939588, 141.3376484653,14.801000, 527488.2228,4769064.8580,0.03,331.510, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37.0,31351.7, 4, 43.0738071408, 141.3376375782,14.812000, 527487.3305,4769066.3183,0.03,332.220, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37.5,31352.2, 4, 43.0738203887, 141.3376267325,14.796000, 527486.4417,4769067.7859,0.03,329.330, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38.0,31352.7, 4, 43.0738335368, 141.3376156218,14.797000, 527485.5313,4769069.2424,0.03,324.760, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38.5,31353.2, 4, 43.0738464915, 141.3376042858,14.782000, 527484.6026,4769070.6773,0.03,331.350, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.0,31353.7, 4, 43.0738594102, 141.3375924180,14.781000, 527483.6306,4769072.1080,12.32,326.700, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39.5,31354.2, 4, 43.0738721617, 141.3375800950,14.757000, 527482.6217,4769073.5200,2.03,323.170, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40.0,31354.7, 4, 43.0738850723, 141.3375687783,14.764000, 527481.6947,4769074.9501,1.13,327.180, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
